event_id,source_file,source_sheet,expiration_year,tenant,address,city,state,sf_range_visible,leased_sf,expiration_date,expiration_basis,transaction_quarter,transaction_type,starting_rent_psf,free_rent,ti_value_psf,execution_date,source_batch,source_screenshot,notes,building_id,match_status,matched_property_name,dashboard_include
BD-Master-BD-upload-2,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,MSE,121 Whittendale Drive,Moorestown,NJ,"144,544 SqFt",144544,2027-03-01,Visible,,,,,,,2027 screenshots,1,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-3,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Mark Anthony Brands,942 Memorial Parkway,Phillipsburg,NJ,400-450K SqFt,425000,2027-03-01,Estimated from nearest visible date on page,,,,,,,2027 screenshots,1,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-4,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Trionics,300 International Drive,Budd Lake,NJ,150-200K SqFt,175000,2027-03-01,Estimated from nearest visible date on page,,,,,,,2027 screenshots,1,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-5,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Wesco Aircraft Holdings,100-124 Capital Road,Pittston,PA,150-200K SqFt,175000,2027-03-01,Estimated from nearest visible date on page,,,,,,,2027 screenshots,1,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-8,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,GXO Logistics,6111 Grayson Road,Harrisburg,PA,"301,600 SqFt",301600,2027-03-25,Visible,,,,,,,2027 screenshots,1,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-9,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Lowe's,325 Centerpoint Boulevard,Pittston,PA,700-750K SqFt,725000,2027-03-25,Estimated from nearest visible date on page,,,,,,,2027 screenshots,1,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-12,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Carbel,1520 Van Buren Road,Easton,PA,100-150K SqFt,125000,2027-03-31,Estimated from nearest visible date on page,,,,,,,2027 screenshots,1,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-18,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Ashley Furniture,50 Keystone Boulevard,Pottsville,PA,100-150K SqFt,125000,2027-04-01,Estimated from nearest visible date on page,,,,,,,2027 screenshots,2,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-19,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Goodman Distribution Inc.,136 Talmadge Road,Edison,NJ,100-150K SqFt,125000,2027-04-01,Estimated from nearest visible date on page,,,,,,,2027 screenshots,2,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-20,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,ICS,100 Friars Boulevard,West Deptford,NJ,"180,000 SqFt",180000,2027-04-01,Visible,,,,,,,2027 screenshots,2,,,Unmatched to 150K master building,,False
BD-Master-BD-upload-25,CompStak Export_2027_2028_BD_Prospects over 100k(3).xlsx,Master BD upload,2027,Hudson's Bay Co.,25 Keystone Boulevard,Pottsville,PA,"618,000 SqFt",618000,2027-04-15,Visible,,,,,,,2027 screenshots,2,,,Unmatched to 150K master building,,False
