clean_comp_id,comp_id,source_system,source_file,source_record_id,transaction_quarter,execution_date,commencement_date,expiration_date,lease_term_months,lease_term_text,tenant,property_name,address,city,state,market,submarket,building_id,match_status,matched_property_name,building_size_sf,transaction_sf,transaction_type,starting_rent_psf,current_rent_psf,est_starting_rent_today_psf,net_effective_rent_psf,rent_type,rent_escalation,free_rent_months,ti_value_psf,work_type,sublease,building_class,clear_height,ground_level_doors,loading_docks,year_built,year_renovated,lot_size_acres,landlord,landlord_brokerage,landlord_brokers,tenant_brokerage,tenant_brokers,industry,comments,concessions_notes,data_quality_score,duplicate_group_size,merged_sources,dashboard_include,building_profile_enrichment
COMP-00002,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-2,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-2,2008 - Q1,2008-01-01,2008-05-01,2018-04-30,120.0,,"Quebecor World Logistics, Inc.",28 Englehard Dr,28 Englehard Dr,Monroe Township,NJ,Northern New Jersey,Exit 8A,,Unmatched to 150K master building,,,239161,Other,5.65,,,,NNN,,,,,False,B,,,,,,,Morgan Stanley,,,,,,,,11,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00006,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-6,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-6,2008 - Q1,2008-02-01,2008-06-01,2020-01-31,140.0,,Easy Pak Services Inc,303 Ridge Rd,303 Ridge Rd,Dayton,NJ,Northern New Jersey,Exit 8A,,Unmatched to 150K master building,,,75600,Renewal,2.02,,,,NNN,,,0.5,,False,C,,,,,,,,,,,,"Manufacturing (except Pharmaceutical, Retail, and Computer Tech)","Renewal $.50 psf TI's. 24' Clear 7 Tailgates, 1 Drive-in",,11,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00011,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-11,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-11,2008 - Q1,2008-03-15,2008-07-15,2018-07-14,120.0,,MMS East,200 Seaview Dr,200 Seaview Dr,Secaucus,NJ,Northern New Jersey,Meadowlands,,Unmatched to 150K master building,,,183186,Renewal,6.35,,,,,,,,,False,C,,,,,,,"Hartz Mountain Industries, Inc.",,,,,Healthcare,Rent escalation $6.35-$6.85/ Extention& Expansion,Rent escalation $6.35-$6.85,11,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00012,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-12,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-12,2008 - Q2,2008-04-01,2008-08-01,2013-07-31,60.0,,Argent Associates,140 Fieldcrest Ave,140 Fieldcrest Ave,Edison,NJ,Northern New Jersey,Exit 10,,Unmatched to 150K master building,,,59518,New Lease,5.01,,,,,,,,,False,B,,,,,,,,,,,,"Technology, Advertising, Media, and Information",,,10,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00014,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-14,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-14,2008 - Q2,2008-04-01,2008-08-01,2018-07-31,120.0,,Felix Storch,40-44 Distribution Blvd - 154M,40-44 Distribution Blvd,Edison,NJ,Northern New Jersey,Exit 10,,Unmatched to 150K master building,,,122395,New Lease,4.35,,,,Net,,,,,False,C,,,,,,,,,,,,,,,10,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00015,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-15,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-15,2008 - Q2,2008-04-01,2008-08-01,2015-07-31,84.0,,East Coast Warehouse & Distribution,698 Route 46 - Amazon Distribution Center,698 Route 46,Teterboro,NJ,Northern New Jersey,Meadowlands,,Unmatched to 150K master building,,,127892,Other,5.8,,,,Net,,,,,False,B,,,,,,,,,,,,Transportation,Rent Escalation $5.80-$6.30,,10,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00018,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-18,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-18,2008 - Q2,2008-05-01,2008-09-01,2011-08-31,36.0,,,570 Commerce Blvd,570 Commerce Blvd,Carlstadt,NJ,Northern New Jersey,Meadowlands,,Unmatched to 150K master building,,,58713,New Lease,6.75,,,,NNN,,,,,False,B,,,,,,,Russo Development LLC,,,,,,Rent Escalation $6.75-$7.16,,10,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00021,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-21,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-21,2008 - Q3,2008-07-01,2008-07-05,2008-07-04,,,Plastic Express,100 Blue Heron Way,100 Blue Heron Way,Edison,NJ,Northern New Jersey,Exit 10,,Unmatched to 150K master building,,,94832,New Lease,5.6,,,,Net,,,,,False,B,,,,,,,Federal Business Centers Inc,,,,,Transportation,Tailboards (TB): 12; Rail Line,Office space to suit,11,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00025,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-25,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-25,2008 - Q3,2008-08-01,2008-12-01,2008-11-30,,,Larose Industries,1578 Sussex Tpke - Bldg 5,1578 Sussex Tpke,Randolph,NJ,Northern New Jersey,Morris,,Unmatched to 150K master building,,,125000,Other,5.25,,,,Net,,,,,False,C,,,,,,,Silverman Group,,,,,"Life Sciences (Biotech, Pharmaceuticals, Medical Devices)",,,11,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
COMP-00026,SAV-Savills-Comps-Industrial-PHI-PAC-NNJ-1-1-08-to-12-31-13-26,Savills CSV,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13-26,2008 - Q3,2008-08-01,2008-12-01,2015-11-30,84.0,,F&L Shipping,95 Mayhill St - Saddle Brook Industrial Centre,95 Mayhill St,Saddle Brook,NJ,Northern New Jersey,Bergen Central,,Unmatched to 150K master building,,,104920,Other,5.0,,,,Net,,,,,False,B,,,,,,,Winter Properties,,,,,Transportation,Real Escalation $5.00-$5.25,,11,1,Savills CSV / Savills Comps - Industrial - PHI-PAC-NNJ - 1-1-08 to 12-31-13.csv,False,False
